0.04,0.01,-1.03,-14.20,-20.70,1.42,CALIB
0.03,0.02,-1.03,-14.25,-20.77,1.43,CALIB
0.03,0.02,-1.02,-14.31,-20.86,1.44,CALIB
0.03,0.03,-1.04,-14.36,-20.94,1.45,CALIB
0.03,0.01,-1.02,-14.42,-21.02,1.46,CALIB
0.03,0.02,-1.02,-14.47,-21.11,1.46,CALIB
0.03,0.03,-1.04,-14.53,-21.19,1.47,CALIB
0.03,0.02,-1.02,-14.59,-21.27,1.48,CALIB
0.03,0.02,-1.03,-14.64,-21.35,1.49,CALIB
0.03,0.02,-1.04,-14.70,-21.44,1.50,CALIB
0.03,0.01,-1.04,-14.76,-21.52,1.51,CALIB
0.03,0.02,-1.05,-14.81,-21.61,1.52,CALIB
0.04,0.01,-1.03,-14.87,-21.70,1.53,CALIB
0.03,0.02,-1.04,-14.93,-21.78,1.54,CALIB
0.03,0.02,-1.03,-14.99,-21.87,1.55,CALIB
0.03,0.02,-1.03,-15.05,-21.95,1.56,CALIB
0.03,0.00,-1.04,-15.10,-22.04,1.57,CALIB
0.03,0.02,-1.02,-15.16,-22.13,1.58,CALIB
0.03,0.01,-1.03,-15.22,-22.22,1.59,CALIB
0.03,0.02,-1.03,-15.28,-22.30,1.60,CALIB
0.03,0.02,-1.04,-15.34,-22.39,1.61,CALIB
0.03,0.02,-1.03,-15.40,-22.48,1.62,CALIB
0.03,0.02,-1.03,-15.46,-22.57,1.63,CALIB
0.03,0.03,-1.03,-15.52,-22.66,1.64,CALIB
0.04,0.01,-1.03,-15.58,-22.74,1.65,CALIB
0.04,0.01,-1.02,-15.64,-22.83,1.66,CALIB
0.03,0.02,-1.03,-15.70,-22.91,1.67,CALIB
0.03,0.02,-1.02,-15.76,-23.01,1.68,CALIB
0.04,0.02,-1.02,-15.82,-23.10,1.69,CALIB
0.04,0.02,-1.04,-15.88,-23.18,1.70,CALIB
0.02,0.02,-1.03,-15.95,-23.27,1.71,CALIB
0.03,0.02,-1.03,-16.01,-23.37,1.72,CALIB
0.04,0.03,-1.03,-16.07,-23.46,1.73,CALIB
0.03,0.01,-1.04,-16.14,-23.55,1.74,CALIB
0.03,0.02,-1.03,-16.20,-23.64,1.75,CALIB
0.04,0.02,-1.02,-16.26,-23.74,1.76,CALIB
