,omegax_0tx,omegay_0tx,omegaz_0tx,pitch_0tx,roll_0tx,yaw_0tx,linax_0tx,linay_0tx,linyz_0tx,m1pwm_0tu,m2pwm_0tu,m3pwm_0tu,m4pwm_0tu,omegax_0dx,omegay_0dx,omegaz_0dx,pitch_0dx,roll_0dx,yaw_0dx,linax_0dx,linay_0dx,linyz_0dx,timesteps,objective vals,flight times,omegax_1tx,omegay_1tx,omegaz_1tx,pitch_1tx,roll_1tx,yaw_1tx,linax_1tx,linay_1tx,linaz_1tx,omegax_2tx,omegay_2tx,omegaz_2tx,pitch_2tx,roll_2tx,yaw_2tx,linax_2tx,linay_2tx,linaz_2tx,omegax_3tx,omegay_3tx,omegaz_3tx,pitch_3tx,roll_3tx,yaw_3tx,linax_3tx,linay_3tx,linaz_3tx,m1pwm_1tu,m2pwm_1tu,m3pwm_1tu,m4pwm_1tu,m1pwm_2tu,m2pwm_2tu,m3pwm_2tu,m4pwm_2tu,m1pwm_3tu,m2pwm_3tu,m3pwm_3tu,m4pwm_3tu,omegax_1fx,omegay_1fx,omegaz_1fx,pitch_1fx,roll_1fx,yaw_1fx,linax_1fx,linay_1fx,linaz_1fx,term,vbat
265,-1.5492957746478737,4.788732394366207,-1.5492957746478737,-1.9962437152862549,0.03840252012014389,0.015621662139892578,-0.234375,0.0,9.6484375,35328.0,44544.0,39680.0,43264.0,1.408450704225345,-14.084507042253506,-9.15492957746477,-0.02573084831237793,-0.28426580876111984,-0.22949457168579102,-0.3515625,0.5078125,0.8984375,36.946432,0.0,125.063168,-1.5492957746478737,4.788732394366207,-1.5492957746478737,-1.9962437152862549,0.03840252012014389,0.015621662139892578,-0.234375,0.0,9.6484375,-2.9577464788732186,1.267605633802816,-0.8450704225351728,-1.9400532245635986,0.052436232566833496,0.06369662284851074,-0.3515625,0.0,9.921875,-0.8450704225351728,0.5633802816901721,-1.5492957746478737,-1.901796579360962,0.0929705947637558,0.021538257598876953,-0.3125,-0.4296875,9.0234375,35328.0,44544.0,39680.0,43264.0,33536.0,42240.0,37632.0,41216.0,30208.0,38144.0,33792.0,37120.0,-0.1408450704225288,-9.2957746478873,-10.704225352112644,-2.021974563598633,-0.24586328864097595,-0.21387290954589844,-0.5859375,0.5078125,10.546875,0.0,3811.0
266,-0.1408450704225288,-9.2957746478873,-10.704225352112644,-2.021974563598633,-0.24586328864097595,-0.21387290954589844,-0.5859375,0.5078125,10.546875,35584.0,40192.0,39168.0,38912.0,31.69014084507046,-11.267605633802816,2.112676056337989,0.5033649206161499,0.8760332763195038,-0.3321516513824463,0.46875,0.546875,1.328125,82.98496,0.0,162.0096,-0.1408450704225288,-9.2957746478873,-10.704225352112644,-2.021974563598633,-0.24586328864097595,-0.21387290954589844,-0.5859375,0.5078125,10.546875,-1.5492957746478737,4.788732394366207,-1.5492957746478737,-1.9962437152862549,0.03840252012014389,0.015621662139892578,-0.234375,0.0,9.6484375,-2.9577464788732186,1.267605633802816,-0.8450704225351728,-1.9400532245635986,0.052436232566833496,0.06369662284851074,-0.3515625,0.0,9.921875,35584.0,40192.0,39168.0,38912.0,35328.0,44544.0,39680.0,43264.0,33536.0,42240.0,37632.0,41216.0,45.63380281690144,-38.87323943661971,-8.591549295774655,-0.5247266888618469,1.9357713460922241,-0.8564281463623047,1.5234375,-1.40625,9.84375,0.0,3848.0
267,45.63380281690144,-38.87323943661971,-8.591549295774655,-0.5247266888618469,1.9357713460922241,-0.8564281463623047,1.5234375,-1.40625,9.84375,35584.0,39936.0,39680.0,37888.0,-9.859154929577471,23.943661971830977,7.042253521126781,1.2528181076049805,1.7515743970870972,-0.2812141180038452,-0.0390625,-0.6640625,-1.328125,38.061312,135.0,244.99456,45.63380281690144,-38.87323943661971,-8.591549295774655,-0.5247266888618469,1.9357713460922241,-0.8564281463623047,1.5234375,-1.40625,9.84375,31.54929577464793,-20.563380281690115,-8.591549295774655,-1.518609642982483,0.6301699876785278,-0.5460245609283447,-0.1171875,1.0546875,11.875,-0.1408450704225288,-9.2957746478873,-10.704225352112644,-2.021974563598633,-0.24586328864097595,-0.21387290954589844,-0.5859375,0.5078125,10.546875,35584.0,39936.0,39680.0,37888.0,32768.0,39424.0,36096.0,38656.0,35584.0,40192.0,39168.0,38912.0,35.774647887323965,-14.929577464788736,-1.5492957746478737,0.7280914187431335,3.6873457431793213,-1.13764226436615,1.484375,-2.0703125,8.515625,0.0,3858.0
268,35.774647887323965,-14.929577464788736,-1.5492957746478737,0.7280914187431335,3.6873457431793213,-1.13764226436615,1.484375,-2.0703125,8.515625,30720.0,49152.0,38144.0,37888.0,-43.66197183098592,50.0,7.042253521126781,-0.2092859148979187,0.3972361087799072,0.17666518688201904,-1.2109375,0.15625,1.2890625,43.96928,120.0,283.055872,35.774647887323965,-14.929577464788736,-1.5492957746478737,0.7280914187431335,3.6873457431793213,-1.13764226436615,1.484375,-2.0703125,8.515625,45.63380281690144,-38.87323943661971,-8.591549295774655,-0.5247266888618469,1.9357713460922241,-0.8564281463623047,1.5234375,-1.40625,9.84375,31.54929577464793,-20.563380281690115,-8.591549295774655,-1.518609642982483,0.6301699876785278,-0.5460245609283447,-0.1171875,1.0546875,11.875,30720.0,49152.0,38144.0,37888.0,35584.0,39936.0,39680.0,37888.0,32768.0,39424.0,36096.0,38656.0,-7.887323943661954,35.070422535211264,5.492957746478908,0.5188055038452148,4.0845818519592285,-0.9609770774841309,0.2734375,-1.9140625,9.8046875,0.0,3848.0
269,-7.887323943661954,35.070422535211264,5.492957746478908,0.5188055038452148,4.0845818519592285,-0.9609770774841309,0.2734375,-1.9140625,9.8046875,32000.0,45312.0,35584.0,37888.0,-54.225352112676035,38.732394366197184,4.929577464788736,-1.9697387218475342,-1.6534161567687988,0.3971436023712158,-1.015625,1.2109375,0.3515625,29.580032,12.0,327.025152,-7.887323943661954,35.070422535211264,5.492957746478908,0.5188055038452148,4.0845818519592285,-0.9609770774841309,0.2734375,-1.9140625,9.8046875,35.774647887323965,-14.929577464788736,-1.5492957746478737,0.7280914187431335,3.6873457431793213,-1.13764226436615,1.484375,-2.0703125,8.515625,45.63380281690144,-38.87323943661971,-8.591549295774655,-0.5247266888618469,1.9357713460922241,-0.8564281463623047,1.5234375,-1.40625,9.84375,32000.0,45312.0,35584.0,37888.0,30720.0,49152.0,38144.0,37888.0,35584.0,39936.0,39680.0,37888.0,-62.11267605633799,73.80281690140845,10.422535211267643,-1.4509332180023193,2.4311656951904297,-0.563833475112915,-0.7421875,-0.703125,10.15625,0.0,3853.0
270,-62.11267605633799,73.80281690140845,10.422535211267643,-1.4509332180023193,2.4311656951904297,-0.563833475112915,-0.7421875,-0.703125,10.15625,30976.0,42752.0,33792.0,41984.0,-30.98591549295776,24.647887323943678,6.3380281690140805,-4.0501344203948975,-3.6379231214523315,0.7074794769287109,-1.40625,1.2890625,0.4296875,50.473728,47.0,356.605184,-62.11267605633799,73.80281690140845,10.422535211267643,-1.4509332180023193,2.4311656951904297,-0.563833475112915,-0.7421875,-0.703125,10.15625,-7.887323943661954,35.070422535211264,5.492957746478908,0.5188055038452148,4.0845818519592285,-0.9609770774841309,0.2734375,-1.9140625,9.8046875,35.774647887323965,-14.929577464788736,-1.5492957746478737,0.7280914187431335,3.6873457431793213,-1.13764226436615,1.484375,-2.0703125,8.515625,30976.0,42752.0,33792.0,41984.0,32000.0,45312.0,35584.0,37888.0,30720.0,49152.0,38144.0,37888.0,-93.09859154929575,98.45070422535213,16.760563380281724,-5.501067638397217,-1.2067574262619019,0.1436460018157959,-2.1484375,0.5859375,10.5859375,0.0,3863.0
271,-93.09859154929575,98.45070422535213,16.760563380281724,-5.501067638397217,-1.2067574262619019,0.1436460018157959,-2.1484375,0.5859375,10.5859375,29952.0,39168.0,35072.0,41728.0,26.056338028169023,-2.81690140845069,3.5211267605633907,-3.783578395843506,-3.1961156129837036,0.5408914089202881,3.75,-2.8515625,-0.0390625,39.00416,338.0,407.078912,-93.09859154929575,98.45070422535213,16.760563380281724,-5.501067638397217,-1.2067574262619019,0.1436460018157959,-2.1484375,0.5859375,10.5859375,-62.11267605633799,73.80281690140845,10.422535211267643,-1.4509332180023193,2.4311656951904297,-0.563833475112915,-0.7421875,-0.703125,10.15625,-7.887323943661954,35.070422535211264,5.492957746478908,0.5188055038452148,4.0845818519592285,-0.9609770774841309,0.2734375,-1.9140625,9.8046875,29952.0,39168.0,35072.0,41728.0,30976.0,42752.0,33792.0,41984.0,32000.0,45312.0,35584.0,37888.0,-67.04225352112672,95.63380281690144,20.281690140845114,-9.284646034240723,-4.4028730392456055,0.684537410736084,1.6015625,-2.265625,10.546875,0.0,3863.0
272,-67.04225352112672,95.63380281690144,20.281690140845114,-9.284646034240723,-4.4028730392456055,0.684537410736084,1.6015625,-2.265625,10.546875,38912.0,38656.0,36608.0,49408.0,45.77464788732391,-50.7042253521127,0.704225352112644,-2.546619415283203,-1.3625431060791016,0.5702083110809326,-0.8984375,1.3671875,0.0390625,37.997824,2411.0,446.083072,-67.04225352112672,95.63380281690144,20.281690140845114,-9.284646034240723,-4.4028730392456055,0.684537410736084,1.6015625,-2.265625,10.546875,-93.09859154929575,98.45070422535213,16.760563380281724,-5.501067638397217,-1.2067574262619019,0.1436460018157959,-2.1484375,0.5859375,10.5859375,-62.11267605633799,73.80281690140845,10.422535211267643,-1.4509332180023193,2.4311656951904297,-0.563833475112915,-0.7421875,-0.703125,10.15625,38912.0,38656.0,36608.0,49408.0,29952.0,39168.0,35072.0,41728.0,30976.0,42752.0,33792.0,41984.0,-21.267605633802816,44.929577464788736,20.98591549295776,-11.831265449523926,-5.765416145324707,1.2547457218170166,0.703125,-0.8984375,10.5859375,0.0,3832.0
273,-21.267605633802816,44.929577464788736,20.98591549295776,-11.831265449523926,-5.765416145324707,1.2547457218170166,0.703125,-0.8984375,10.5859375,37888.0,38912.0,39936.0,49408.0,63.38028169014086,-76.05633802816902,11.267605633802816,-0.15952777862548828,0.8499927520751953,1.004335880279541,-0.8984375,2.3828125,1.2109375,41.939456,166.0,484.080896,-21.267605633802816,44.929577464788736,20.98591549295776,-11.831265449523926,-5.765416145324707,1.2547457218170166,0.703125,-0.8984375,10.5859375,-67.04225352112672,95.63380281690144,20.281690140845114,-9.284646034240723,-4.4028730392456055,0.684537410736084,1.6015625,-2.265625,10.546875,-93.09859154929575,98.45070422535213,16.760563380281724,-5.501067638397217,-1.2067574262619019,0.1436460018157959,-2.1484375,0.5859375,10.5859375,37888.0,38912.0,39936.0,49408.0,38912.0,38656.0,36608.0,49408.0,29952.0,39168.0,35072.0,41728.0,42.112676056338046,-31.126760563380287,32.253521126760575,-11.990793228149414,-4.915423393249512,2.2590816020965576,-0.1953125,1.484375,11.796875,0.0,3821.0
274,42.112676056338046,-31.126760563380287,32.253521126760575,-11.990793228149414,-4.915423393249512,2.2590816020965576,-0.1953125,1.484375,11.796875,36864.0,44288.0,35840.0,49408.0,43.66197183098592,-86.61971830985914,5.6338028169014365,4.029844284057617,3.7788649797439575,2.016313076019287,0.859375,-1.25,-1.640625,40.6272,106.0,526.020352,42.112676056338046,-31.126760563380287,32.253521126760575,-11.990793228149414,-4.915423393249512,2.2590816020965576,-0.1953125,1.484375,11.796875,-21.267605633802816,44.929577464788736,20.98591549295776,-11.831265449523926,-5.765416145324707,1.2547457218170166,0.703125,-0.8984375,10.5859375,-67.04225352112672,95.63380281690144,20.281690140845114,-9.284646034240723,-4.4028730392456055,0.684537410736084,1.6015625,-2.265625,10.546875,36864.0,44288.0,35840.0,49408.0,37888.0,38912.0,39936.0,49408.0,38912.0,38656.0,36608.0,49408.0,85.77464788732397,-117.74647887323943,37.88732394366201,-7.960948944091797,-1.1365584135055542,4.275394678115845,0.6640625,0.234375,10.15625,0.0,3821.0
275,85.77464788732397,-117.74647887323943,37.88732394366201,-7.960948944091797,-1.1365584135055542,4.275394678115845,0.6640625,0.234375,10.15625,31744.0,42752.0,35328.0,38912.0,12.676056338028161,-14.084507042253534,0.704225352112644,3.9421472549438477,2.9361929893493652,1.1528711318969727,-0.3125,-0.3515625,-1.2109375,38.54336,710.0,566.647552,85.77464788732397,-117.74647887323943,37.88732394366201,-7.960948944091797,-1.1365584135055542,4.275394678115845,0.6640625,0.234375,10.15625,42.112676056338046,-31.126760563380287,32.253521126760575,-11.990793228149414,-4.915423393249512,2.2590816020965576,-0.1953125,1.484375,11.796875,-21.267605633802816,44.929577464788736,20.98591549295776,-11.831265449523926,-5.765416145324707,1.2547457218170166,0.703125,-0.8984375,10.5859375,31744.0,42752.0,35328.0,38912.0,36864.0,44288.0,35840.0,49408.0,37888.0,38912.0,39936.0,49408.0,98.45070422535213,-131.83098591549296,38.591549295774655,-4.018801689147949,1.799634575843811,5.428265810012817,0.3515625,-0.1171875,8.9453125,0.0,3853.0
276,98.45070422535213,-131.83098591549296,38.591549295774655,-4.018801689147949,1.799634575843811,5.428265810012817,0.3515625,-0.1171875,8.9453125,29696.0,50432.0,44800.0,39424.0,10.563380281690172,40.14084507042256,-4.225352112676035,4.118274353444576,3.7722963094711304,1.1083002090454102,-1.3671875,-3.0078125,0.9375,32.897792,1274.0,605.190912,98.45070422535213,-131.83098591549296,38.591549295774655,-4.018801689147949,1.799634575843811,5.428265810012817,0.3515625,-0.1171875,8.9453125,85.77464788732397,-117.74647887323943,37.88732394366201,-7.960948944091797,-1.1365584135055542,4.275394678115845,0.6640625,0.234375,10.15625,42.112676056338046,-31.126760563380287,32.253521126760575,-11.990793228149414,-4.915423393249512,2.2590816020965576,-0.1953125,1.484375,11.796875,29696.0,50432.0,44800.0,39424.0,31744.0,42752.0,35328.0,38912.0,36864.0,44288.0,35840.0,49408.0,109.0140845070423,-91.6901408450704,34.36619718309862,0.09947266429662704,5.571930885314941,6.5365660190582275,-1.015625,-3.125,9.8828125,0.0,3821.0
277,109.0140845070423,-91.6901408450704,34.36619718309862,0.09947266429662704,5.571930885314941,6.5365660190582275,-1.015625,-3.125,9.8828125,39680.0,50432.0,43264.0,37632.0,-59.15492957746483,100.0,2.81690140845069,2.317005731165409,3.789175033569336,1.4621715545654297,-0.4296875,4.1796875,1.484375,35.036416,17957.0,638.088704,109.0140845070423,-91.6901408450704,34.36619718309862,0.09947266429662704,5.571930885314941,6.5365660190582275,-1.015625,-3.125,9.8828125,98.45070422535213,-131.83098591549296,38.591549295774655,-4.018801689147949,1.799634575843811,5.428265810012817,0.3515625,-0.1171875,8.9453125,85.77464788732397,-117.74647887323943,37.88732394366201,-7.960948944091797,-1.1365584135055542,4.275394678115845,0.6640625,0.234375,10.15625,39680.0,50432.0,43264.0,37632.0,29696.0,50432.0,44800.0,39424.0,31744.0,42752.0,35328.0,38912.0,49.85915492957747,8.309859154929597,37.18309859154931,2.416478395462036,9.361105918884277,7.998737573623657,-1.4453125,1.0546875,11.3671875,0.0,3811.0
