,omegax_0dx,omegay_0dx,omegaz_0dx,pitch_0dx,roll_0dx,yaw_0dx,linax_0dx,linay_0dx,linyz_0dx,omegax_1tx,omegay_1tx,omegaz_1tx,pitch_1tx,roll_1tx,yaw_1tx,linax_1tx,linay_1tx,linaz_1tx,omegax_2tx,omegay_2tx,omegaz_2tx,pitch_2tx,roll_2tx,yaw_2tx,linax_2tx,linay_2tx,linaz_2tx,omegax_3tx,omegay_3tx,omegaz_3tx,pitch_3tx,roll_3tx,yaw_3tx,linax_3tx,linay_3tx,linaz_3tx,m1_pwm_1tu,m2_pwm_1tu,m3_pwm_1tu,m4_pwm_1tu,m1_pwm_2tu,m2_pwm_2tu,m3_pwm_2tu,m4_pwm_2tu,m1_pwm_3tu,m2_pwm_3tu,m3_pwm_3tu,m4_pwm_3tu,omegax_1fx,omegay_1fx,omegaz_1fx,pitch_1fx,roll_1fx,yaw_1fx,linax_1fx,linay_1fx,linaz_1fx
507,0.0,0.0,0.0,1.4900000000000002,0.009999999999999787,-0.27999999999999936,-0.1,0.010000000000000009,0.039999999999999925,0.0,0.0,0.0,-15.32,15.03,7.09,0.03,0.26,-0.84,0.0,0.0,0.0,-16.3,14.16,7.79,0.01,0.31,-0.99,0.0,0.0,0.0,-16.55,12.67,7.65,-0.03,0.3,-0.94,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-13.83,15.04,6.8100000000000005,-0.07,0.27,-0.8
508,0.0,0.0,0.0,1.7200000000000006,-1.0099999999999998,-0.5200000000000005,0.19,0.19,-0.019999999999999907,0.0,0.0,0.0,-13.83,15.04,6.8100000000000005,-0.07,0.27,-0.8,0.0,0.0,0.0,-15.32,15.03,7.76,0.03,0.26,-0.84,0.0,0.0,0.0,-16.3,14.16,7.79,0.01,0.31,-0.99,1500.0,3000.0,0.0,1500.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-12.11,14.03,6.29,0.12,0.46,-0.82
509,0.0,0.0,0.0,1.2199999999999989,-1.33,-0.5899999999999999,0.010000000000000009,-0.09000000000000002,-0.09000000000000008,0.0,0.0,0.0,-12.11,14.03,6.29,0.12,0.46,-0.82,0.0,0.0,0.0,-13.83,15.04,7.48,-0.07,0.27,-0.8,0.0,0.0,0.0,-15.32,15.03,7.76,0.03,0.26,-0.84,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-10.89,12.7,5.7,0.13,0.37,-0.91
510,0.0,0.0,0.0,-0.22999999999999865,-0.7799999999999994,-0.4299999999999997,0.0,-0.08999999999999997,-0.04999999999999993,0.0,0.0,0.0,-10.89,12.7,5.7,0.13,0.37,-0.91,0.0,0.0,0.0,-12.11,14.03,6.96,0.12,0.46,-0.82,0.0,0.0,0.0,-13.83,15.04,7.48,-0.07,0.27,-0.8,0.0,1500.0,1500.0,3000.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,0.0,0.0,0.0,-11.12,11.92,5.2700000000000005,0.13,0.28,-0.96
511,0.0,0.0,0.0,-1.5200000000000014,-0.0600000000000005,-0.11000000000000032,-0.06,0.019999999999999962,0.13,0.0,0.0,0.0,-11.12,11.92,5.2700000000000005,0.13,0.28,-0.96,0.0,0.0,0.0,-10.89,12.7,6.37,0.13,0.37,-0.91,0.0,0.0,0.0,-12.11,14.03,6.96,0.12,0.46,-0.82,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,1500.0,3000.0,0.0,1500.0,0.0,0.0,0.0,-12.64,11.86,5.16,0.07,0.3,-0.83
512,0.0,0.0,0.0,-2.039999999999999,0.45000000000000107,0.25,0.03,-0.02999999999999997,-0.050000000000000044,0.0,0.0,0.0,-12.64,11.86,5.16,0.07,0.3,-0.83,0.0,0.0,0.0,-11.12,11.92,5.94,0.13,0.28,-0.96,0.0,0.0,0.0,-10.89,12.7,6.37,0.13,0.37,-0.91,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-14.68,12.31,5.41,0.1,0.27,-0.88
513,0.0,0.0,0.0,-1.870000000000001,0.6500000000000004,0.4500000000000002,-0.010000000000000009,0.04999999999999999,-0.12,0.0,0.0,0.0,-14.68,12.31,5.41,0.1,0.27,-0.88,0.0,0.0,0.0,-12.64,11.86,5.83,0.07,0.3,-0.83,0.0,0.0,0.0,-11.12,11.92,5.94,0.13,0.28,-0.96,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-16.55,12.96,5.86,0.09,0.32,-1.0
514,0.0,0.0,0.0,-1.6799999999999997,0.6199999999999992,0.46999999999999975,-0.06,0.0,0.050000000000000044,0.0,0.0,0.0,-16.55,12.96,5.86,0.09,0.32,-1.0,0.0,0.0,0.0,-14.68,12.31,6.08,0.1,0.27,-0.88,0.0,0.0,0.0,-12.64,11.86,5.83,0.07,0.3,-0.83,3000.0,1500.0,1500.0,0.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-18.23,13.58,6.33,0.03,0.32,-0.95
515,0.0,0.0,0.0,-1.5199999999999996,0.09999999999999964,0.2699999999999996,-0.06,0.07,-0.030000000000000027,0.0,0.0,0.0,-18.23,13.58,6.33,0.03,0.32,-0.95,0.0,0.0,0.0,-16.55,12.96,6.53,0.09,0.32,-1.0,0.0,0.0,0.0,-14.68,12.31,6.08,0.1,0.27,-0.88,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-19.75,13.68,6.6,-0.03,0.39,-0.98
516,0.0,0.0,0.0,-0.9600000000000009,-0.5800000000000001,-0.02999999999999936,0.04,-0.10000000000000003,-0.010000000000000009,0.0,0.0,0.0,-19.75,13.68,6.6,-0.03,0.39,-0.98,0.0,0.0,0.0,-18.23,13.58,7.0,0.03,0.32,-0.95,0.0,0.0,0.0,-16.55,12.96,6.53,0.09,0.32,-1.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-20.71,13.1,6.57,0.01,0.29,-0.99
517,0.0,0.0,0.0,-0.05999999999999872,-0.8300000000000001,-0.3700000000000001,0.07,0.0,0.13,0.0,0.0,0.0,-20.71,13.1,6.57,0.01,0.29,-0.99,0.0,0.0,0.0,-19.75,13.68,7.27,-0.03,0.39,-0.98,0.0,0.0,0.0,-18.23,13.58,7.0,0.03,0.32,-0.95,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-20.77,12.27,6.2,0.08,0.29,-0.86
518,0.0,0.0,0.0,0.379999999999999,-0.40000000000000036,-0.6500000000000004,-0.05,0.12,-0.030000000000000027,0.0,0.0,0.0,-20.77,12.27,6.2,0.08,0.29,-0.86,0.0,0.0,0.0,-20.71,13.1,7.24,0.01,0.29,-0.99,0.0,0.0,0.0,-19.75,13.68,7.27,-0.03,0.39,-0.98,1500.0,0.0,3000.0,1500.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-20.39,11.87,5.55,0.03,0.41,-0.89
519,0.0,0.0,0.0,0.010000000000001563,0.120000000000001,-0.7799999999999994,0.07,-0.06999999999999995,0.17000000000000004,0.0,0.0,0.0,-20.39,11.87,5.55,0.03,0.41,-0.89,0.0,0.0,0.0,-20.77,12.27,6.87,0.08,0.29,-0.86,0.0,0.0,0.0,-20.71,13.1,7.24,0.01,0.29,-0.99,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-20.38,11.99,4.7700000000000005,0.1,0.34,-0.72
520,0.0,0.0,0.0,-0.4499999999999993,0.14000000000000057,-0.7200000000000006,-0.11,-0.21000000000000002,-0.21000000000000008,0.0,0.0,0.0,-20.38,11.99,4.7700000000000005,0.1,0.34,-0.72,0.0,0.0,0.0,-20.39,11.87,6.22,0.03,0.41,-0.89,0.0,0.0,0.0,-20.77,12.27,6.87,0.08,0.29,-0.86,131.0,0.0,3000.0,2868.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-20.83,12.13,4.05,-0.01,0.13,-0.93
521,0.0,0.0,0.0,0.29999999999999716,0.11999999999999922,-0.47999999999999954,0.15000000000000002,-0.010000000000000009,0.19000000000000006,0.0,0.0,0.0,-20.83,12.13,4.05,-0.01,0.13,-0.93,0.0,0.0,0.0,-20.38,11.99,5.44,0.1,0.34,-0.72,0.0,0.0,0.0,-20.39,11.87,6.22,0.03,0.41,-0.89,131.0,0.0,3000.0,2868.0,131.0,0.0,3000.0,2868.0,1500.0,0.0,3000.0,1500.0,0.0,0.0,0.0,-20.53,12.25,3.5700000000000003,0.14,0.12,-0.74
522,0.0,0.0,0.0,2.030000000000001,0.2699999999999996,-0.22000000000000064,-0.12000000000000001,0.15000000000000002,-0.06000000000000005,0.0,0.0,0.0,-20.53,12.25,3.5700000000000003,0.14,0.12,-0.74,0.0,0.0,0.0,-20.83,12.13,4.72,-0.01,0.13,-0.93,0.0,0.0,0.0,-20.38,11.99,5.44,0.1,0.34,-0.72,3000.0,1500.0,1500.0,0.0,131.0,0.0,3000.0,2868.0,131.0,0.0,3000.0,2868.0,0.0,0.0,0.0,-18.5,12.52,3.3499999999999996,0.02,0.27,-0.8
523,0.0,0.0,0.0,3.369999999999999,0.09999999999999964,0.21000000000000085,0.02,-0.030000000000000027,-0.04999999999999993,0.0,0.0,0.0,-18.5,12.52,3.3499999999999996,0.02,0.27,-0.8,0.0,0.0,0.0,-20.53,12.25,4.24,0.14,0.12,-0.74,0.0,0.0,0.0,-20.83,12.13,4.72,-0.01,0.13,-0.93,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,131.0,0.0,3000.0,2868.0,0.0,0.0,0.0,-15.13,12.62,3.5600000000000005,0.04,0.24,-0.85
524,0.0,0.0,0.0,3.880000000000001,-0.4299999999999997,0.5299999999999994,0.04,0.030000000000000027,-0.08999999999999997,0.0,0.0,0.0,-15.13,12.62,3.5600000000000005,0.04,0.24,-0.85,0.0,0.0,0.0,-18.5,12.52,4.02,0.02,0.27,-0.8,0.0,0.0,0.0,-20.53,12.25,4.24,0.14,0.12,-0.74,1500.0,3000.0,0.0,1500.0,3000.0,1500.0,1500.0,0.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-11.25,12.19,4.09,0.08,0.27,-0.94
525,0.0,0.0,0.0,3.54,-1.0399999999999991,0.6200000000000001,-0.04,0.07999999999999996,-0.06000000000000005,0.0,0.0,0.0,-11.25,12.19,4.09,0.08,0.27,-0.94,0.0,0.0,0.0,-15.13,12.62,4.23,0.04,0.24,-0.85,0.0,0.0,0.0,-18.5,12.52,4.02,0.02,0.27,-0.8,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,3000.0,1500.0,1500.0,0.0,0.0,0.0,0.0,-7.71,11.15,4.71,0.04,0.35,-1.0
526,0.0,0.0,0.0,2.67,-1.17,0.5499999999999998,0.23,0.16000000000000003,-0.1399999999999999,0.0,0.0,0.0,-7.71,11.15,4.71,0.04,0.35,-1.0,0.0,0.0,0.0,-11.25,12.19,4.76,0.08,0.27,-0.94,0.0,0.0,0.0,-15.13,12.62,4.23,0.04,0.24,-0.85,0.0,1770.0,1229.0,3000.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,0.0,0.0,0.0,-5.04,9.98,5.26,0.27,0.51,-1.14
527,0.0,0.0,0.0,1.4,-0.3600000000000012,0.45999999999999996,-0.12000000000000002,-0.10999999999999999,0.08999999999999986,0.0,0.0,0.0,-5.04,9.98,5.26,0.27,0.51,-1.14,0.0,0.0,0.0,-7.71,11.15,5.38,0.04,0.35,-1.0,0.0,0.0,0.0,-11.25,12.19,4.76,0.08,0.27,-0.94,0.0,1770.0,1229.0,3000.0,0.0,1770.0,1229.0,3000.0,1500.0,3000.0,0.0,1500.0,0.0,0.0,0.0,-3.64,9.62,5.72,0.15,0.4,-1.05
528,0.0,0.0,0.0,0.2400000000000002,1.1900000000000013,0.4400000000000004,0.04000000000000001,-0.06,0.13,0.0,0.0,0.0,-3.64,9.62,5.72,0.15,0.4,-1.05,0.0,0.0,0.0,-5.04,9.98,5.93,0.27,0.51,-1.14,0.0,0.0,0.0,-7.71,11.15,5.38,0.04,0.35,-1.0,0.0,1500.0,1500.0,3000.0,0.0,1770.0,1229.0,3000.0,0.0,1770.0,1229.0,3000.0,0.0,0.0,0.0,-3.4,10.81,6.16,0.19,0.34,-0.92
529,0.0,0.0,0.0,-0.9899999999999998,2.17,0.41000000000000014,-0.06,0.12999999999999995,0.15000000000000002,0.0,0.0,0.0,-3.4,10.81,6.16,0.19,0.34,-0.92,0.0,0.0,0.0,-3.64,9.62,6.39,0.15,0.4,-1.05,0.0,0.0,0.0,-5.04,9.98,5.93,0.27,0.51,-1.14,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1770.0,1229.0,3000.0,0.0,0.0,0.0,-4.39,12.98,6.57,0.13,0.47,-0.77
530,0.0,0.0,0.0,-2.21,2.219999999999999,0.33000000000000007,-0.03,-0.06999999999999995,0.0,0.0,0.0,0.0,-4.39,12.98,6.57,0.13,0.47,-0.77,0.0,0.0,0.0,-3.4,10.81,6.83,0.19,0.34,-0.92,0.0,0.0,0.0,-3.64,9.62,6.39,0.15,0.4,-1.05,1500.0,3000.0,0.0,1500.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-6.6,15.2,6.9,0.1,0.4,-0.77
531,0.0,0.0,0.0,-3.5,1.5500000000000007,0.17999999999999972,0.06,-0.030000000000000027,-0.18999999999999995,0.0,0.0,0.0,-6.6,15.2,6.9,0.1,0.4,-0.77,0.0,0.0,0.0,-4.39,12.98,7.24,0.13,0.47,-0.77,0.0,0.0,0.0,-3.4,10.81,6.83,0.19,0.34,-0.92,1500.0,3000.0,0.0,1500.0,1500.0,3000.0,0.0,1500.0,0.0,1500.0,1500.0,3000.0,0.0,0.0,0.0,-10.1,16.75,7.08,0.16,0.37,-0.96
