Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
181116,0,0,0,0,6.445153713226318,-4.961756229400635
181126,0,0,0,0,6.371283054351807,-4.752475738525391
181136,0,0,0,0,6.291088104248047,-4.568424224853516
181146,0,0,0,0,6.191641807556152,-4.286632061004639
181156,0,0,0,0,6.160096645355225,-4.125268459320068
181166,0,0,0,0,6.172662258148193,-3.894425392150879
181176,0,0,0,0,6.207693576812744,-3.747105360031128
181186,0,0,0,0,6.281174659729004,-3.5908119678497314
181196,0,0,0,0,6.29948091506958,-3.511568069458008
181206,0,0,0,0,6.254950046539307,-3.315509080886841
181216,0,0,0,0,6.237177848815918,-3.191023111343384
181226,0,0,0,0,6.2544026374816895,-2.9897725582122803
181236,0,0,0,0,6.251979351043701,-2.8279712200164795
181246,0,0,0,0,6.205442905426025,-2.674006462097168
181256,0,0,0,0,6.086418628692627,-2.5607028007507324
181266,0,0,0,0,5.570257186889648,-3.000849962234497
181276,0,0,0,0,4.693469047546387,-4.961576461791992
181286,0,0,0,0,2.85168719291687,-9.039817810058594
181296,0,0,0,0,1.7544777393341064,-9.392001152038574
181306,0,0,0,0,1.3162389993667603,-9.720590591430664
181316,0,0,0,0,1.2563420534133911,-9.466951370239258
181326,0,0,0,0,1.3322468996047974,-8.99476432800293
181336,0,0,0,0,1.637911081314087,-8.444262504577637
181346,0,0,0,0,2.4043185710906982,-7.406791687011719
181356,0,0,0,0,2.8332533836364746,-6.7951340675354
181366,0,0,0,0,2.9532837867736816,-6.4217329025268555
181376,0,0,0,0,2.716294527053833,-6.553184509277344
181386,0,0,0,0,2.554654598236084,-6.681807518005371
181396,0,0,0,0,2.607750177383423,-6.6289544105529785
181406,0,0,0,0,2.6833887100219727,-6.497638702392578
181416,0,0,0,0,2.6831815242767334,-6.452750205993652
181426,0,0,0,0,2.478316068649292,-6.522195339202881
181436,0,0,0,0,2.3152995109558105,-6.563127517700195
181446,0,0,0,0,2.0667688846588135,-6.602197170257568
181456,0,0,0,0,1.898400068283081,-6.636341571807861
181466,0,0,0,0,1.6739603281021118,-6.704197406768799
181476,0,0,0,0,1.5067064762115479,-6.800095081329346
181486,0,0,0,0,1.2073686122894287,-6.923763275146484
181496,0,0,0,0,1.01929771900177,-6.983558654785156
181506,0,0,0,0,0.786393404006958,-7.0634026527404785
181516,0,0,0,0,0.6709808707237244,-7.13654088973999
181526,0,0,0,0,0.5343189835548401,-7.2521257400512695
181536,0,0,0,0,0.4611620008945465,-7.323068618774414
181546,0,0,0,0,0.40558502078056335,-7.343554973602295
181556,0,0,0,0,0.33888840675354004,-7.372501850128174
181566,0,0,0,0,0.1797158569097519,-7.483191013336182
181576,0,0,0,0,0.0698169469833374,-7.564807891845703
181586,0,0,0,0,-0.009825939312577248,-7.598576068878174
181596,0,0,0,0,-0.09607651084661484,-7.616925239562988
181606,0,0,0,0,-0.41406551003456116,-7.686230659484863
181616,0,0,0,0,-0.6620219349861145,-7.67820405960083
181626,0,0,0,0,-1.1850637197494507,-7.6508259773254395
181636,0,0,0,0,-1.2427284717559814,-7.327892780303955
