Timestamp,compactImu.a_xyz,compactImu.l_xyz,motorCompact.pwms,stabilizer.pitch,stabilizer.roll,stabilizer.thrust,stabilizer.yaw
245131,581244291,655889914,2883830423,1.743466258,16.16549873,55552,-32.55455399
245141,582286706,657990134,2951856772,3.347542048,14.99505043,55552,-32.62519455
245151,584383849,653795840,2917777551,4.44063139,14.14941216,55552,-32.64702606
245161,586490211,661139950,3002513797,6.026972771,12.81806946,55552,-32.62505722
245171,588603748,657992192,3134960541,7.022367001,11.90434837,55552,-32.56504822
245181,588619112,653795834,3136137877,8.378212929,10.55774307,55552,-32.40155792
245191,589681010,666379763,3252335268,9.184452057,9.697538376,30720,-32.26079559
245201,588649851,662187518,3169231777,10.26831818,8.47760582,55552,-32.00061798
245211,591804813,664286704,3167661996,10.91383171,7.746594429,55552,-31.80364037
245221,589720991,664281603,3017517232,11.7921381,6.793264866,55552,-31.46976089
245231,590776748,655898100,2900279452,12.31523991,6.251082897,55552,-31.23481178
245241,592883129,659040768,2917115571,13.02763176,5.535097122,55552,-30.85168076
245251,590792130,669531635,2999630257,13.45979595,5.111740112,55552,-30.58848381
245261,591850949,661144059,2530983096,14.02050209,4.53085041,55552,-30.18800545
245271,589768130,657993212,2680474551,14.33771801,4.13752985,55552,-29.91000557
245281,590831029,656942576,2597895363,14.66273403,3.464009762,30720,-29.48721504
245291,589804960,657990146,2932392122,14.77848339,2.917230844,30720,-29.19855118
245301,588770694,657994235,3051725237,14.80409241,1.895461321,30720,-28.76796722
245311,587738476,666384885,3251612851,14.72075844,1.065107822,30720,-28.48459053
245321,587745621,653799931,3302330822,14.50762272,-0.360386699,30720,-28.06137657
245331,588795209,655890949,3454442912,14.33415413,-1.402778029,30720,-27.78010941
245341,587745600,669531637,3589177262,14.08918667,-3.058704376,30720,-27.35671806
245351,588781897,655903230,3370557856,13.94625473,-4.136427402,30720,-27.08029747
245361,590869844,667428351,3254488487,13.82354832,-5.676941395,30720,-26.64461899
245371,591906149,667428347,3152521892,13.79578114,-6.629899979,30720,-26.34243774
245381,590852471,664287742,2952437162,13.80374432,-7.893195152,30720,-25.88772011
245391,590847369,663237120,3051466922,13.84882355,-8.62641716,30720,-25.57727432
245401,590845339,666384890,2784273587,13.91185188,-9.574295044,30720,-25.11343765
245411,590851496,662191622,2950869932,13.95486641,-10.11201763,30720,-24.80589867
245421,589808051,666384892,2851119287,13.9621048,-10.81361485,30720,-24.35825157
245431,588771772,664287739,3034164918,13.90229893,-11.22410679,30720,-24.07394218
245441,586685888,666386942,2950864322,13.72424507,-11.78065014,30720,-23.68254852
245451,584601025,667429372,3251806651,13.54886818,-12.12838459,30720,-23.44318581
245461,585653699,663234051,3084949697,13.21644592,-12.64531803,30720,-23.10850525
245471,582512072,656950774,3133844162,12.96597672,-12.97231865,30720,-22.90352058
245481,580415941,656939528,3269235647,12.59390163,-13.40811253,30720,-22.61460114
245491,581459401,668476925,2781265862,12.36062908,-13.70883656,30720,-22.42464828
245501,579356106,659042821,3084557761,12.05057144,-14.13026333,30720,-22.1333313
245511,578302410,669524483,2966206143,11.88584423,-14.41054249,30720,-21.93460655
245521,576200131,663237120,2933238213,11.66802597,-14.8491087,30720,-21.6439724
245531,577245622,659036678,2949822136,11.54328156,-15.18853378,30720,-21.45406723
245541,574100901,666377729,2966988991,11.36913776,-15.84375191,30720,-21.17040443
245551,572005779,664283649,3218057656,11.24736977,-16.37065697,30720,-20.99431038
245561,570955138,661137921,3302987702,11.06147099,-17.30354309,30720,-20.74842072
245571,570951035,660090369,3419381431,10.94301891,-18.0004406,30720,-20.59109688
245581,568847731,656945668,3521219762,10.81554985,-19.08695602,30720,-20.34876442
245591,568833399,665332221,4006051262,10.78013325,-19.82343674,30720,-20.17333603
245601,568817026,663238151,4244397212,10.8487587,-20.86824989,30720,-19.86632538
245611,568798613,666374657,3672150182,10.98003006,-21.49752426,30720,-19.6263237
245621,566687151,665333246,3875499403,11.2903986,-22.25372887,30720,-19.2226429
